child_id,child_age_group,count_children_present
ID_ADEG2X54U,50-59 months,29.0
ID_IQTJHR1HO,60-69 months,40.0
ID_01RAL2DTR,50-59 months,29.0
ID_OYXJAORJ3,60-69 months,40.0
ID_QAHQED9ED,50-59 months,29.0
ID_SOJB9XLOA,60-69 months,40.0
ID_TXE8JZTZU,50-59 months,29.0
ID_POZE6WRO9,50-59 months,29.0
ID_S2JOFO4RP,50-59 months,29.0
ID_SL6REPVWF,60-69 months,40.0
ID_P3DJ79H8V,50-59 months,29.0
ID_N8D70IHCQ,50-59 months,29.0
ID_NG8E8UT0W,50-59 months,29.0
ID_TW27ZNSRS,50-59 months,29.0
ID_Z91BBZ55I,60-69 months,40.0
ID_2BTSVH8YK,50-59 months,29.0
ID_6EJYKR6RC,60-69 months,40.0
ID_IGNMXE9ZC,60-69 months,40.0
ID_TXR4OVCOW,50-59 months,29.0
ID_ATFPG1KTR,60-69 months,40.0
ID_T239JVL6I,50-59 months,29.0
ID_VN7CKAMHO,50-59 months,29.0
ID_ERDTZ7TTK,50-59 months,29.0
ID_GHOEA7YQT,50-59 months,29.0
ID_YSMNE6RPY,50-59 months,29.0
ID_UOMG01DW5,60-69 months,40.0
ID_WA4STWB2W,50-59 months,29.0
ID_8WEHTEGHL,60-69 months,40.0
ID_BZZBILWNY,50-59 months,29.0
ID_KBU5S1KKP,50-59 months,29.0
ID_2L4P6KZ4S,50-59 months,29.0
ID_7M06Y0D8D,60-69 months,40.0
ID_RPHC5RN60,60-69 months,40.0
ID_VGI6I6IJK,50-59 months,29.0
ID_G8SW56PWK,50-59 months,29.0
ID_CHQV4ZZ3X,50-59 months,29.0
ID_BGALLRUQX,60-69 months,40.0
ID_ESMNPXA9I,50-59 months,29.0
ID_71OBXDEJW,60-69 months,40.0
ID_ZAFEOJVHU,50-59 months,29.0
ID_O5AZAJIN0,60-69 months,40.0
ID_KVUWULE40,50-59 months,29.0
ID_224B2JD04,60-69 months,40.0
ID_Z3SLRRHTS,60-69 months,40.0
ID_MS4NBQXXG,50-59 months,29.0
ID_C70SSESC8,60-69 months,40.0
ID_4HPVX5HDA,50-59 months,29.0
ID_NZU4GOBAF,50-59 months,29.0
ID_E7WUVX1KS,50-59 months,29.0
ID_6XDY4VN2S,50-59 months,29.0
ID_QOEDZGCFF,50-59 months,29.0
ID_S3I59QJ8O,50-59 months,29.0
ID_3TLR9DVB6,60-69 months,40.0
ID_KOKBFIN07,60-69 months,40.0
ID_PJ6U2ACXP,60-69 months,40.0
ID_XZGX06UHU,50-59 months,29.0
ID_3RLHTE3J2,50-59 months,29.0
ID_EZBW99UJA,50-59 months,29.0
ID_9DUPUFGM9,60-69 months,40.0
ID_6AOG0945S,50-59 months,29.0
ID_P7BMFUQWF,50-59 months,29.0
ID_8XIA0YIM8,50-59 months,29.0
ID_NT7GO97T4,60-69 months,40.0
ID_FXDOT8724,50-59 months,29.0
ID_QG2LGO8XJ,50-59 months,29.0
ID_LQEZ4FA05,50-59 months,29.0
ID_Y7CG02Z1K,60-69 months,40.0
ID_9CMK0NEGO,50-59 months,29.0
ID_LO876U41G,60-69 months,40.0
ID_T9AYEZSQ5,60-69 months,40.0
ID_E0ZC461UI,60-69 months,40.0
ID_74P63XARN,50-59 months,29.0
ID_8LU7XTBPP,60-69 months,40.0
ID_1311QBPVE,60-69 months,40.0
ID_VKY9SVSW0,50-59 months,29.0
ID_JXOFMQBH0,50-59 months,29.0
ID_8ASMCU0DD,60-69 months,40.0
ID_1TII3VOSJ,60-69 months,40.0
ID_32LI9I9HL,50-59 months,29.0
ID_0SQECSNSE,50-59 months,29.0
ID_8RNM8LRTN,50-59 months,29.0
ID_X0V5RYDU2,60-69 months,40.0
ID_9402J3OOQ,50-59 months,29.0
ID_ZXB73F3S7,50-59 months,29.0
ID_G9Q6ADIRE,50-59 months,29.0
ID_XQA49G1AH,60-69 months,40.0
ID_S7VPWATDV,60-69 months,40.0
ID_ENJPEU8W9,60-69 months,40.0
ID_7KI85HYXG,60-69 months,40.0
ID_FW5YUQ45R,60-69 months,40.0
ID_EWHGBGJPO,60-69 months,40.0
ID_JHPS6XA0T,60-69 months,40.0
ID_9KTPFWTUT,50-59 months,29.0
ID_W13NZJ3RN,60-69 months,40.0
ID_1C747QNJP,60-69 months,40.0
ID_XR2FQRSFV,60-69 months,40.0
ID_ZLVEPVH4X,50-59 months,29.0
ID_IWHU592XI,50-59 months,29.0
ID_1NN3IK52M,60-69 months,40.0
ID_JK9JL42HQ,50-59 months,29.0
ID_NBQLI2ATX,50-59 months,29.0
ID_C073R08OU,50-59 months,29.0
ID_DD3A8WU39,50-59 months,29.0
ID_A7DXENQU1,50-59 months,29.0
ID_F1CAZ4MVE,50-59 months,29.0
ID_4PKD6NF4L,50-59 months,29.0
ID_ODU5PVFTT,50-59 months,29.0
ID_9SLY6DPKR,50-59 months,29.0
ID_ZFDG2EFD4,50-59 months,29.0
ID_LRLNZO2RA,50-59 months,29.0
ID_OJVZD17ZD,50-59 months,29.0
ID_4X3SS0IBB,50-59 months,29.0
ID_RUP04V50K,50-59 months,29.0
ID_0HZJ5X0KD,50-59 months,29.0
ID_4O1JNGU4A,50-59 months,29.0
ID_G0ITZ0NPU,60-69 months,40.0
ID_V1MZW4HTY,50-59 months,29.0
ID_49UY60VBZ,60-69 months,40.0
ID_8K6N51RC2,50-59 months,29.0
ID_QLLBY5QOH,60-69 months,40.0
ID_ZQBRBUYGT,50-59 months,29.0
ID_8IIAMOBQQ,50-59 months,29.0
ID_Y4BNLT436,60-69 months,40.0
ID_9Q8D1QM2D,60-69 months,40.0
ID_YP50AURRO,50-59 months,29.0
ID_W2S9X089F,60-69 months,40.0
ID_E0SLL5LEA,50-59 months,29.0
ID_X639IDIKQ,60-69 months,40.0
ID_2ODOQKF72,50-59 months,29.0
ID_JIE5VIW1N,50-59 months,29.0
ID_AEII0YUI1,60-69 months,40.0
ID_1TA1EOYGU,60-69 months,40.0
ID_TQ7ZTWUAN,60-69 months,40.0
ID_5AJBD61UO,50-59 months,29.0
ID_NHYHT2WA5,50-59 months,29.0
ID_18O22MDZE,50-59 months,29.0
ID_6OMWZGF3V,50-59 months,29.0
ID_X0LCLSCC1,60-69 months,40.0
ID_OPUWG34YH,60-69 months,40.0
ID_QFEOVMPYM,50-59 months,29.0
ID_Z22RLFTPY,50-59 months,29.0
ID_XPF7AW6BA,50-59 months,29.0
ID_VE67KYR8W,60-69 months,40.0
ID_DHU9WAW1H,50-59 months,29.0
ID_TXIRLN5YV,50-59 months,29.0
ID_5E25WB13H,50-59 months,29.0
ID_R3YGV5TQ1,60-69 months,40.0
ID_H8J9W4EYK,50-59 months,29.0
ID_3L1NNR5R9,50-59 months,29.0
ID_KYM287ZK9,60-69 months,40.0
ID_0WCNBZRQX,50-59 months,29.0
ID_618DA3XIF,50-59 months,29.0
ID_7WBIEF5B8,50-59 months,29.0
ID_X7P9UMQYP,50-59 months,29.0
ID_Z73P0FGZ4,50-59 months,29.0
ID_ZKYLDPC91,60-69 months,40.0
ID_CKGHEV2CA,50-59 months,29.0
ID_J3F2UO34P,50-59 months,29.0
ID_C03R1S4PW,50-59 months,29.0
ID_KC1LVSIL7,60-69 months,40.0
ID_KP8620HYU,50-59 months,29.0
ID_LBUW23JHB,50-59 months,29.0
ID_CXERUYVWX,60-69 months,40.0
ID_NGWPGKZRV,50-59 months,29.0
ID_88R26S89V,50-59 months,29.0
ID_50LLWM1P9,60-69 months,40.0
ID_73NUW3KPW,50-59 months,29.0
ID_2CRVFRFEH,50-59 months,29.0
ID_XL8MJNSE0,50-59 months,29.0
ID_3Y2T4EL1V,50-59 months,29.0
ID_OKBEL587F,50-59 months,29.0
ID_2ZXEDTY8O,50-59 months,29.0
ID_H8A3XK6KD,50-59 months,29.0
ID_AVRPG8PBT,50-59 months,29.0
ID_TVKSNLX0F,60-69 months,40.0
ID_HM02PSH8T,50-59 months,29.0
ID_B0XGUY7OB,50-59 months,29.0
ID_X4V7266CT,60-69 months,40.0
ID_M2A7PL6GJ,50-59 months,29.0
ID_3SK2U3Q6M,50-59 months,29.0
ID_DUSLJY6J1,50-59 months,29.0
ID_UEBAQRLQW,50-59 months,29.0
ID_329NN0RAL,50-59 months,29.0
ID_R8W8DI1QG,50-59 months,29.0
ID_PJF7BPA2H,50-59 months,29.0
ID_66LYFJX98,50-59 months,29.0
ID_E33DECCY2,50-59 months,29.0
ID_76L3674HL,60-69 months,40.0
ID_T1RT2WDYI,50-59 months,29.0
ID_CSBZQP8R9,60-69 months,40.0
ID_CJULXDSOZ,50-59 months,29.0
ID_V3L7MFG2N,60-69 months,40.0
ID_1T8UE1Y5U,60-69 months,40.0
ID_JZRT560VS,50-59 months,29.0
ID_W9BLCZ07Z,60-69 months,40.0
ID_TE399Y7HY,60-69 months,40.0
ID_YO55ULBZK,50-59 months,29.0
ID_HODOS2FOK,50-59 months,29.0
ID_H80BT5V7D,50-59 months,29.0
ID_TW7D5I15J,50-59 months,29.0
ID_ECBEC71UQ,50-59 months,29.0
ID_X1HGMSRCP,60-69 months,40.0
ID_GC2LJ3IAY,50-59 months,29.0
ID_OI6NXB72A,50-59 months,29.0
ID_T4I5AH8UH,50-59 months,29.0
ID_96KWMTFDZ,50-59 months,29.0
ID_X7U095YYX,60-69 months,40.0
ID_I03ZBTSM3,50-59 months,29.0
ID_6CUT7DOCY,60-69 months,40.0
ID_G0Q3DXRJF,60-69 months,40.0
ID_EVP2FCOYX,60-69 months,40.0
ID_8TDBULGE3,50-59 months,29.0
ID_OWX1TOAS9,50-59 months,29.0
ID_HWGHNRNP4,50-59 months,29.0
ID_X3MCIDPHV,50-59 months,29.0
ID_Z91U85TD7,50-59 months,29.0
ID_1I4OK4T09,50-59 months,29.0
ID_9LXMUO7T1,50-59 months,29.0
ID_VNZA4PBWD,50-59 months,29.0
ID_T1GR0RAJU,50-59 months,29.0
ID_DLXKCUL63,60-69 months,40.0
ID_H6OR2BJXR,60-69 months,40.0
ID_U6JI9JP39,60-69 months,40.0
ID_TS68UAHUE,50-59 months,29.0
ID_7761Y962Q,50-59 months,29.0
ID_RXSY34O0Q,50-59 months,29.0
ID_EI3JGD9IC,60-69 months,40.0
ID_G2FGFYVLF,50-59 months,29.0
ID_DQEESOWQG,50-59 months,29.0
ID_9XBSMKIC4,60-69 months,40.0
ID_IXKIPN4SG,60-69 months,40.0
ID_OPSUJ7474,50-59 months,29.0
ID_QB6CL4UZF,50-59 months,29.0
ID_RBZAWSK18,50-59 months,29.0
ID_XZG9BTVWA,60-69 months,40.0
ID_JCP4985UW,50-59 months,29.0
ID_BGV6I8BFE,50-59 months,29.0
ID_F6PGOG766,50-59 months,29.0
ID_FNVAUUKI4,50-59 months,29.0
ID_A8VO9JCB6,50-59 months,29.0
ID_WWNQNWO7L,60-69 months,40.0
ID_YYJ9RAH8H,50-59 months,29.0
ID_MV9HRU7CE,60-69 months,40.0
ID_2RJN9HQ51,60-69 months,40.0
ID_58TBJ62WO,50-59 months,29.0
ID_VYDP3RC2X,50-59 months,29.0
ID_6O492Z416,60-69 months,40.0
ID_ZNZEEMS6Z,50-59 months,29.0
ID_MR8STQ2HU,50-59 months,29.0
ID_Q6NMEMK7H,60-69 months,40.0
ID_U4X3CAW0Z,60-69 months,40.0
ID_YB1FPQPOG,50-59 months,29.0
ID_03TK2WR12,50-59 months,29.0
ID_AK3C17ZAU,50-59 months,29.0
ID_OM8532X9S,60-69 months,40.0
ID_UUC2Q8J4F,60-69 months,40.0
ID_GXCHUK85L,60-69 months,40.0
ID_FBBK7FJDI,60-69 months,40.0
ID_HV2NP881N,60-69 months,40.0
ID_PNSEQ4AHJ,60-69 months,40.0
ID_G9AGF6Q3I,50-59 months,29.0
ID_YCL483POY,50-59 months,29.0
ID_P3SPDWUH1,60-69 months,40.0
ID_5OAW5SGTV,50-59 months,29.0
ID_7B486LTAQ,50-59 months,29.0
ID_PIJTRM9KJ,60-69 months,40.0
ID_6VVHC2ZB3,50-59 months,29.0
ID_2XSTNID4T,50-59 months,29.0
ID_I6VHIAIUJ,60-69 months,40.0
ID_SHWXQIPPK,50-59 months,29.0
ID_NFR9ME4WD,60-69 months,40.0
ID_OQTUXQV59,50-59 months,29.0
ID_HVGC8RCR3,60-69 months,40.0
ID_IGQFW997F,60-69 months,40.0
ID_WBZIC62L5,50-59 months,29.0
ID_W1BVTO7B6,50-59 months,29.0
ID_MYO068381,50-59 months,29.0
ID_58U9M9L7A,50-59 months,29.0
ID_4KGKW8PK3,60-69 months,40.0
ID_4QVXTCTNA,50-59 months,29.0
ID_YDNKOPIG5,60-69 months,40.0
ID_P37796GYD,50-59 months,29.0
ID_8X6C4ITDV,70 Months or older,24.0
ID_IU5KMM619,50-59 months,29.0
ID_QKLT1PVDP,60-69 months,40.0
ID_QRGMOG89J,50-59 months,29.0
ID_LXB5P5XMO,60-69 months,40.0
ID_NJ8P215XQ,50-59 months,29.0
ID_2L91OXIX4,50-59 months,29.0
ID_0WQKDH2C4,50-59 months,29.0
ID_LU08MEWT1,60-69 months,40.0
ID_L0KSSYFKQ,50-59 months,29.0
ID_SA3DWAG8J,60-69 months,40.0
ID_BK3PC5AU2,50-59 months,29.0
ID_54GA5BNGJ,50-59 months,29.0
ID_7RL6VZKM2,60-69 months,40.0
ID_CQXK6TZY5,60-69 months,40.0
ID_L0BNWAEXZ,60-69 months,40.0
ID_4LNNODZWW,50-59 months,29.0
ID_08S6LBNBU,60-69 months,40.0
ID_9IT818QHY,50-59 months,29.0
ID_051B49Q0M,50-59 months,29.0
ID_2C6HEIZSQ,50-59 months,29.0
ID_B30ABQE1L,60-69 months,40.0
ID_I3LB51CM7,60-69 months,40.0
ID_R8MJY8BSN,50-59 months,29.0
ID_KZIOLLIAC,50-59 months,29.0
ID_49QVHV4FX,50-59 months,29.0
ID_GOUDQT4PX,50-59 months,29.0
ID_MPSQQJD03,60-69 months,40.0
ID_5BTDTPHAE,50-59 months,29.0
ID_QACAZVMRI,50-59 months,29.0
ID_6WOM6ZPKQ,50-59 months,29.0
ID_P7GWVIO6O,50-59 months,29.0
ID_Y5IG3PA9J,50-59 months,29.0
ID_X2N9J73EH,50-59 months,29.0
ID_L13BSNN80,60-69 months,40.0
ID_N2FALSVTW,60-69 months,40.0
ID_LOWU374A3,50-59 months,29.0
ID_8JHS9WYIK,60-69 months,40.0
ID_ZC0MC5GGY,50-59 months,29.0
ID_WCSIU2A6G,50-59 months,29.0
ID_ICETTHOV8,50-59 months,29.0
ID_UWN863E17,60-69 months,40.0
ID_4EYBVA6SG,50-59 months,29.0
ID_CWIMAENPO,50-59 months,29.0
ID_JS8KTH3PU,50-59 months,29.0
ID_ATU10I7UB,60-69 months,40.0
ID_L1EIAPUF8,60-69 months,40.0
ID_P8S45X49S,60-69 months,40.0
ID_7Q2GJTR64,60-69 months,40.0
ID_TA4Z6JA4Q,50-59 months,29.0
ID_FYDTO6KW7,60-69 months,40.0
ID_HOONWMLHW,50-59 months,29.0
ID_YH5ZBTSJ5,50-59 months,29.0
ID_TIWYIE3DZ,60-69 months,40.0
ID_WKMJ7ANYN,60-69 months,40.0
ID_P7U2FFQU5,50-59 months,29.0
ID_MDKZ19SL2,60-69 months,40.0
ID_RT4XHZ2YE,50-59 months,29.0
ID_ZWST7IRDM,50-59 months,29.0
ID_R1W0E6PPN,60-69 months,40.0
ID_QJWLIEGR1,50-59 months,29.0
ID_6E6L74FBO,50-59 months,29.0
ID_8IBRF12YT,50-59 months,29.0
ID_4Z44M1OGS,50-59 months,29.0
ID_WVLEY036S,50-59 months,29.0
ID_V262TV2N4,60-69 months,40.0
ID_TDQNGIQTR,50-59 months,29.0
ID_A6MAF9MMO,50-59 months,29.0
ID_V7NZH1D8L,60-69 months,40.0
ID_1O9V2QEX5,50-59 months,29.0
ID_3J6EOG449,60-69 months,40.0
ID_9ZKE5Z1F9,60-69 months,40.0
ID_EY4A6ISR5,60-69 months,40.0
ID_DWN58W5A2,60-69 months,40.0
ID_4FOLWIK5Q,50-59 months,29.0
ID_WW11C1SVD,60-69 months,40.0
ID_1IDKCZQXP,50-59 months,29.0
ID_II6K5P4ZD,50-59 months,29.0
ID_10JGEQHXV,50-59 months,29.0
ID_X7GY774OQ,60-69 months,40.0
ID_EMJGO596H,60-69 months,40.0
ID_IG1Y452D6,50-59 months,29.0
ID_MECDFG4W5,50-59 months,29.0
ID_POZAD8GAV,60-69 months,40.0
ID_TTN8KL30X,60-69 months,40.0
ID_HFDD6CVHG,50-59 months,29.0
ID_OKC8SQJ1D,60-69 months,40.0
ID_PU786TDZD,60-69 months,40.0
ID_9VOR9XO6O,60-69 months,40.0
ID_IYHN5I71F,50-59 months,29.0
ID_FK9UZOO94,50-59 months,29.0
ID_1WZ43WFH1,50-59 months,29.0
ID_KV05GAJCY,60-69 months,40.0
ID_YPTCEE2G4,60-69 months,40.0
ID_QX8SWHYMQ,60-69 months,40.0
ID_10YI38O1G,50-59 months,29.0
ID_MXZTLZ1N2,50-59 months,29.0
ID_64B2RLXZG,50-59 months,29.0
ID_O0Q2UJXYQ,50-59 months,29.0
ID_A1T1MKXMW,60-69 months,40.0
ID_0EVKQEHVL,60-69 months,40.0
ID_I5NIYYAZX,50-59 months,29.0
ID_FOAA2JD2Z,50-59 months,29.0
ID_QU0SZ77VU,50-59 months,29.0
ID_SQUEBTRJ7,50-59 months,29.0
ID_I0S593HFB,50-59 months,29.0
ID_W8H9DUDYQ,60-69 months,40.0
ID_ZC326AF0S,50-59 months,29.0
ID_7OPA0UNZX,50-59 months,29.0
ID_Z2GM6W0O3,50-59 months,29.0
ID_ODOWGOPQG,50-59 months,29.0
ID_FDVL5HV3R,60-69 months,40.0
ID_DWVNRX2O7,60-69 months,40.0
ID_TUPSI6ERN,50-59 months,29.0
ID_9JZ3SVPIA,60-69 months,40.0
ID_IK24JHZD8,50-59 months,29.0
ID_DHG5QYOIM,60-69 months,40.0
ID_4N54G1SF4,60-69 months,40.0
ID_T9AIJ3964,50-59 months,29.0
ID_Z2JX0ZVA0,60-69 months,40.0
ID_SD6L15DXI,50-59 months,29.0
ID_HG0N281OC,60-69 months,40.0
ID_WA80N5ODH,50-59 months,29.0
ID_SH8JS5U3A,60-69 months,40.0
ID_MIY5IZ8TH,50-59 months,29.0
ID_44HXSWRUF,60-69 months,40.0
ID_4R00W7G8E,50-59 months,29.0
ID_D8P04PUZH,60-69 months,40.0
ID_MU3SAHX29,50-59 months,29.0
ID_EEVGC8KSV,60-69 months,40.0
ID_FP4VDNSJ1,50-59 months,29.0
ID_RL1J1WWFQ,50-59 months,29.0
ID_ZUADIHUDR,50-59 months,29.0
ID_54PGSKC1P,50-59 months,29.0
ID_4LIU492N4,60-69 months,40.0
ID_D91D9MTVT,60-69 months,40.0
ID_IYZMCRY5A,50-59 months,29.0
ID_VFBBZ0Q3N,60-69 months,40.0
ID_3MBTSYGA7,50-59 months,29.0
ID_UMH0TH7VZ,50-59 months,29.0
ID_A2DPJG9JG,50-59 months,29.0
ID_8TVI89R3U,50-59 months,29.0
ID_892O6N40S,50-59 months,29.0
ID_JXO37K4W7,60-69 months,40.0
ID_MKDWSVLJ3,60-69 months,40.0
ID_GIO7NO82B,50-59 months,29.0
ID_6PN3LPQB2,50-59 months,29.0
ID_8FECXOAHE,50-59 months,29.0
ID_AYOJDQVS3,50-59 months,29.0
ID_HNW04B6F6,60-69 months,40.0
ID_GAIE4Q57Q,60-69 months,40.0
ID_1ENVDO0DH,50-59 months,29.0
ID_BOBJ2FGGB,50-59 months,29.0
ID_4537IVIFX,50-59 months,29.0
ID_XWNARFSFE,60-69 months,40.0
ID_ZM6JP9Q3I,50-59 months,29.0
ID_54TYS3ERK,60-69 months,40.0
ID_6FDC3EP92,60-69 months,40.0
ID_5LJE8AFEL,60-69 months,40.0
ID_2CUG5NG8R,60-69 months,40.0
ID_43M0YYI8C,60-69 months,40.0
ID_AK8ALXNKQ,50-59 months,29.0
ID_APJIBHXMU,50-59 months,29.0
ID_DTBWQB2G9,50-59 months,29.0
ID_QD03BAHNA,50-59 months,29.0
ID_1G14OXSV2,60-69 months,40.0
ID_HYV2UJMPV,50-59 months,29.0
ID_0REBVBG3V,50-59 months,29.0
ID_VMUTGDIPK,50-59 months,29.0
ID_N8GO0N7F6,60-69 months,40.0
ID_E2EIWR3LQ,60-69 months,40.0
ID_1NCCQC3QF,50-59 months,29.0
ID_O5X92ND3Z,50-59 months,29.0
ID_BT9LUEH0A,50-59 months,29.0
ID_1B97UN3VT,60-69 months,40.0
ID_A87RRSD09,50-59 months,29.0
ID_VLGC1T28D,60-69 months,40.0
ID_FFFRV8ZHQ,60-69 months,40.0
ID_TMD25KR76,60-69 months,40.0
ID_RK9TW6JUZ,50-59 months,29.0
ID_SMH33PQZW,60-69 months,40.0
ID_TTXKGGNDI,50-59 months,29.0
ID_HRH2M6VTV,50-59 months,29.0
ID_2PH6RBNZT,50-59 months,29.0
ID_TJWHY3HIJ,60-69 months,40.0
ID_X9AGBD4QM,50-59 months,29.0
ID_4KMWZT8IM,50-59 months,29.0
ID_KRZTLJ8EB,50-59 months,29.0
ID_BNIUFPERO,50-59 months,29.0
ID_95UCUIDH1,50-59 months,29.0
ID_SRT38DGWD,50-59 months,29.0
ID_T8ZY5GEQB,50-59 months,29.0
ID_FXIGV9F4V,50-59 months,29.0
ID_8HWUH3BWR,60-69 months,40.0
ID_17L1RZY4B,50-59 months,29.0
ID_RE27EC7UE,50-59 months,29.0
ID_3FC8SMO0I,60-69 months,40.0
ID_P2DZ8CC95,60-69 months,40.0
ID_HUVJS8TDI,50-59 months,29.0
ID_46B1X8O3D,50-59 months,29.0
ID_08VBLZVKH,50-59 months,29.0
ID_LOY9B2IBW,60-69 months,40.0
ID_6IH4VQQMJ,50-59 months,29.0
ID_7NE3SAC27,50-59 months,29.0
ID_G6KUBTU4N,50-59 months,29.0
ID_CDT4BVYN9,50-59 months,29.0
ID_JD9KKA5X2,60-69 months,40.0
ID_LZKO9EKTK,60-69 months,40.0
ID_DXA965ZE0,60-69 months,40.0
ID_XID6BLKVP,50-59 months,29.0
ID_3JSFVP8KH,50-59 months,29.0
ID_2PZI25ABN,60-69 months,40.0
ID_XDNA26OFA,50-59 months,29.0
ID_XMNNW2TGN,50-59 months,29.0
ID_P88U5ZXGQ,60-69 months,40.0
ID_AD21RX79Z,50-59 months,29.0
ID_YWG1ET54S,60-69 months,40.0
ID_UQG4TDUA9,50-59 months,29.0
ID_L14QKP6QL,50-59 months,29.0
ID_NBLB420UE,50-59 months,29.0
ID_CTG8GK2GY,50-59 months,29.0
ID_GGSFUSOV0,60-69 months,40.0
ID_7QS09PM2L,50-59 months,29.0
ID_A3IGHAUV7,50-59 months,29.0
ID_L25DPYO1S,60-69 months,40.0
ID_65MYGACZ3,60-69 months,40.0
ID_TDPYUQ4L5,60-69 months,40.0
ID_MTC2M9M7B,50-59 months,29.0
ID_2BPKKYXDU,60-69 months,40.0
ID_5WFUX78QK,60-69 months,40.0
ID_QJCWRS710,50-59 months,29.0
ID_D13X7THMC,50-59 months,29.0
ID_320VLFA6I,50-59 months,29.0
ID_5VE6SH20H,60-69 months,40.0
ID_EIY632VAP,50-59 months,29.0
ID_WLMQPJXH6,50-59 months,29.0
ID_AWFWD1XJ0,60-69 months,40.0
ID_ONNN0S4JT,60-69 months,40.0
ID_MYY59A1N5,50-59 months,29.0
ID_3T01AYI82,60-69 months,40.0
ID_LO63YFJ7S,50-59 months,29.0
ID_V4A8QZVSO,60-69 months,40.0
ID_9JKV0WE73,60-69 months,40.0
ID_NZKGTZTLB,50-59 months,29.0
ID_610GX7Y67,50-59 months,29.0
ID_DC1Q8ALMG,50-59 months,29.0
ID_BVJ0TF6HT,50-59 months,29.0
ID_1GQ16VR0G,60-69 months,40.0
ID_OS7J8JDD8,50-59 months,29.0
ID_MG8FAL4ON,50-59 months,29.0
ID_B0NNXSD6T,50-59 months,29.0
ID_ISLRJ61NZ,50-59 months,29.0
ID_LMMP01UXA,50-59 months,29.0
ID_V5WP6N8PK,50-59 months,29.0
ID_MW6PUMDF2,50-59 months,29.0
ID_58BTZ34ZY,50-59 months,29.0
ID_QFNABNPE2,50-59 months,29.0
ID_7BO1KVWI9,50-59 months,29.0
ID_0NOLHM2RO,50-59 months,29.0
ID_N4F21VISJ,50-59 months,29.0
ID_YKOSOGY5C,50-59 months,29.0
ID_WG3XQCN24,50-59 months,29.0
ID_9Z09WXOJP,50-59 months,29.0
ID_LVJDC4ITG,60-69 months,40.0
ID_1EPFVXUAV,50-59 months,29.0
ID_Q0ONVYCBQ,50-59 months,29.0
ID_VFGU335T2,50-59 months,29.0
ID_4MHX2I5I8,50-59 months,29.0
ID_5ONRRCKMC,50-59 months,29.0
ID_13KXVN6I2,50-59 months,29.0
ID_CWZ8XULFT,50-59 months,29.0
ID_UD6O3T8LP,60-69 months,40.0
ID_HZ87VATRB,60-69 months,40.0
ID_JC2IEMX9N,50-59 months,29.0
ID_A7HRX8PXB,50-59 months,29.0
ID_FK7CK2L4P,50-59 months,29.0
ID_0I12VNNOM,50-59 months,29.0
ID_L12W0EC9T,60-69 months,40.0
ID_F9MJJQJQW,60-69 months,40.0
ID_Z1FKGV0AS,50-59 months,29.0
ID_7P4YAM1VL,50-59 months,29.0
ID_VS882R3SC,50-59 months,29.0
ID_SYAKORW41,50-59 months,29.0
ID_ORO0NZJTJ,60-69 months,40.0
ID_WA0Y3RGOK,50-59 months,29.0
ID_SWHKEHL63,50-59 months,29.0
ID_768CVR491,50-59 months,29.0
ID_A0QDX50DN,50-59 months,29.0
ID_MVEK3S0K8,50-59 months,29.0
ID_AC5E9527U,50-59 months,29.0
ID_MLMGLZRGK,50-59 months,29.0
ID_P9C1XP7O6,50-59 months,29.0
ID_WR4QQ1N2I,50-59 months,29.0
ID_HN7V8NTUX,50-59 months,29.0
ID_GFOK2KIMW,50-59 months,29.0
ID_8Z15N5FN0,60-69 months,40.0
ID_4J0X1JXGW,60-69 months,40.0
ID_3E3RPIXYL,60-69 months,40.0
ID_62JY5KCXZ,60-69 months,40.0
ID_KX21SBQ10,50-59 months,29.0
ID_VT48CGW5F,60-69 months,40.0
ID_A6AKQ6LSE,60-69 months,40.0
ID_4VY7FJFQT,50-59 months,29.0
ID_LMZ5QK9JR,50-59 months,29.0
ID_FBBT8TDT8,50-59 months,29.0
ID_9FHAT97PR,50-59 months,29.0
ID_DWE9XPSQP,50-59 months,29.0
ID_7G3RFWN78,50-59 months,29.0
ID_MGLU1BYUC,50-59 months,29.0
ID_VRQL0PFEV,50-59 months,29.0
ID_UNWEAKWLS,50-59 months,29.0
ID_ZE7FBYLL0,60-69 months,40.0
ID_NSSN2WV0Z,60-69 months,40.0
ID_1ENBD1V21,50-59 months,29.0
ID_LP7G7BVNK,50-59 months,29.0
ID_JBG3TL9YA,50-59 months,29.0
ID_NDMV8XEES,50-59 months,29.0
ID_NMOOUECWN,50-59 months,29.0
ID_OJLT4BYJY,60-69 months,40.0
ID_E8VYP8UI2,50-59 months,29.0
ID_4UHBO6LQH,50-59 months,29.0
ID_8D288EPDP,60-69 months,40.0
ID_J468QG504,50-59 months,29.0
ID_UUUY386BR,50-59 months,29.0
ID_UEPWM3CP2,50-59 months,29.0
ID_615JEZTF4,60-69 months,40.0
ID_O7Q5LRASL,50-59 months,29.0
ID_43K7KM2RL,60-69 months,40.0
ID_CQ0S20GVV,50-59 months,29.0
ID_0T5ZBH0K5,60-69 months,40.0
ID_9C82YLWUC,50-59 months,29.0
ID_Z9EW5GCH7,50-59 months,29.0
ID_9H8CQ5N9R,50-59 months,29.0
ID_DYZZZKO0R,50-59 months,29.0
ID_5TI3JVXVV,60-69 months,40.0
